v_products_model,v_manufacturers_name,v_manufactures_code,v_products_image,v_products_price,v_rrp,v_web_price,v_rate_1,v_rate_2,v_rate_3,v_show_price,v_multi_quantity,v_multi_price,v_trade_multi_quantity,v_trade_multi_price,v_box_quantity,v_status,v_products_name_1,v_products_description_1,v_categories_name_1,v_product_style,v_product_finish,v_product_material,v_product_colour,v_products_weight,v_lumens,v_colour_temp,v_energy_class,v_cri,v_hours,v_bulbs_qty,v_bulbs_watage,v_bulb_type,v_bulb_cap,v_bulbs_inc,v_ip_rating,v_bulbs_s1,v_info,v_product_length,v_dimensions_width,v_dimensions_height,v_product_dia,v_dimensions_depth,v_product_min_drop,v_product_max_drop,v_xsell,v_product_voltage,v_product_guarantee,v_product_saftey_class,v_product_transformer,v_product_driver,v_product_cut_out,v_product_recess,v_product_surface_temp,v_product_tilt,v_product_cable,v_product_options,v_product_nonreturnable,v_product_carrage,v_product_statements,v_product_variant,v_priortity,v_family_caption,v_common_images,v_sale_price,v_now_price
O11 10300,Oaks,OA 0506/1BG,products/OA 0506-1BG,39.00,,39.00,39.00,31.20,31.20,CD,0,0,,,,1,"Single Wall Light with Opal glass and pull switch, Black Gold finish","Single Wall Light with Opal glass and pull switch, Black Gold finish. Single Wall Light with Opal glass and pull switch, Black Gold finish",151,1,4,8,2,,0,0,0,0,,2,40,Golf,SES,,0,2 x 40w SES Golf,0,,120,190,,270,,,,,,,,,,,,,,,1,,,,,,,,
O11 10301,Oaks,OA 0506/2BG,products/OA 0506-2BG,85.00,,85.00,85.00,68.00,68.00,CD,0,0,,,,1,"2 Light Hanging / Semi-flush Bar with Opal glass, Black Gold finish","2 Light Hanging / Semi-flush Bar with Opal glass, Black Gold finish. Chain can be removed to fit flush to ceiling",19*20*178,1,4,8,2,,0,0,0,0,,2,40,Golf,SES,,0,2 x 40w SES Golf,0,650,,420,,,,,,,,,,,,,,,,,1,,,,1,,,,
O11 10302,Oaks,OA 0506/3BG,products/OA 0506-3BG,120.00,,120.00,120.00,96.00,96.00,CD,0,0,,,,1,"3 Light Hanging / Semi-flush Bar with Opal glass, Black Gold finish","3 Light Hanging / Semi-flush Bar with Opal glass, Black Gold finish. Chain can be removed to fit flush to ceiling",19*20*178,1,4,8,2,,0,0,0,0,,3,40,Golf,SES,,0,3 x 40w SES Golf,0,700,,460,,,,,,,,,,,,,,,,,1,,,,,,,,
O11 10303,Oaks,OA 0506/5BG,products/OA 0506-5BG,159.00,,159.00,159.00,127.20,127.20,CD,0,0,,,,1,"5 Light Hanging / Semi-flush Bar with Opal glass, Black Gold finish","5 Light Hanging / Semi-flush Bar with Opal glass, Black Gold finish. Chain can be removed to fit flush to ceiling",19*20*178,1,4,8,2,,0,0,0,0,,5,40,Golf,SES,,0,5 x 40w SES Golf,0,,,460,700,,,,,,,,,,,,,,,,1,,,,1,,,,
O11 10304,Oaks,OA 0506TLBG,products/OA 0506TLBG,39.00,,39.00,39.00,31.20,31.20,CD,0,0,,,,1,"Table Lamp with Opal glass, Black Gold finish","Table Lamp with Opal glass, Black Gold finish",99,1,4,8,2,,0,0,0,0,,1,40,Golf,SES,,0,1 x 40w SES Golf,0,,,370,210,,,,,,,,,,,,,,,,1,,,,,,,,
O11 10450,Oaks,OA 103/3,products/OA 103-3,115.00,,115.00,115.00,92.00,92.00,CD,0,0,,,,1,"3 Light Hanging / Semi-flush Acrylic Pendant, Chrome / Clear","3 Light Hanging / Semi-flush Acrylic Pendant, Chrome / Clear. Chain can be removed to fit flush to ceiling",45*178,2,4,7,8,,0,0,0,0,,3,60,Golf,SES,,0,3 x 60w SES Golf,0,,,280,370,,,,,,,,,,,,,,,,1,,,,,,,,
O11 10451,Oaks,OA 103NE,products/OA 103NE,45.00,,45.00,45.00,36.00,36.00,CD,0,0,,,,1,"Non Electric Acrylic Pendant, Chrome / Clear",Non electric - Supplied with 45mm hole & 29mm adaptor  to fit most pendants,45*185,2,4,7,8,,0,0,0,0,,0,0,0,0,,0,,0,,,220,290,,,,,,,,,,,,,,,,1,,,,,,,,
O11 10620,Oaks,OA 1063/1AB,products/OA 1063-1AB,39.00,,39.00,39.00,31.20,31.20,CD,0,0,,,,1,Wall Light  Antique Brass,Wall Light  Antique Brass. *Available in Antique Brass or Antique Chrome finish. **,151,2,,8,1,,0,0,0,0,,1,60,0,SES,,0,1 x 60w SES ,0,,,190,120,220,,,,,,,,,,,,,,,1,,,,,,,,
O11 10621,Oaks,OA 1063/3AB,products/OA 1063-3AB,110.00,,110.00,110.00,88.00,88.00,CD,0,0,,,,1,3 Light  Antique Brass,3 Light  Antique Brass. *Can be converted to Semi Flush. *Available in Antique Brass or Antique Chrome finish. **,19*178,2,,8,1,,0,0,0,0,,3,60,0,SES,,0,3 x 60w SES ,0,,,300,410,,,,,,,,,,,,,,,,1,,,,1,,,,
O11 10622,Oaks,OA 1063/5AB,products/OA 1063-5AB,150.00,,150.00,150.00,120.00,120.00,CD,0,0,,,,1,5 Light  Antique Brass,5 Light  Antique Brass. *Can be converted to Semi Flush. *Available in Antique Brass or Antique Chrome finish. **,19*178,2,,8,1,,0,0,0,0,,5,60,0,SES,,0,5 x 60w SES ,0,,,400,560,,,,,,,,,,,,,,,,1,,,,,,,,
